source,target,weight
QEKLID,QEKLID01,0.999999201204704
YOZNIM,YOZMIL,0.9999998963729728
YOZNIM,XAMDUM07,0.9999998721827268
YOZNIM,FIQCEN,0.9999995518866904
YOZNIM,XAMDUM,0.9999993666013728
YOZNIM,YOZMEH,0.9999993563616264
YOZNIM,UXISUR,0.9999993541330884
YOZNIM,DIHVIB01,0.9999993492728624
YOZNIM,XAMDUM01,0.9999988633873012
DOTSOV16,DOTSOV10,0.9999999991325484
DOTSOV16,DOTSOV15,0.9999999991316978
DOTSOV16,DOTSOV11,0.99999999669427
DOTSOV16,DOTSOV13,0.999999996345504
DOTSOV16,WULKAQ,0.999999992829448
DOTSOV16,DOTSOV12,0.9999999895910618
DOTSOV16,DOTSOV14,0.999999988889292
DOTSOV16,DOTSOV09,0.9999999886724344
DOTSOV16,DOTSOV19,0.999999987866384
DOTSOV16,DOTSOV18,0.9999999873668554
DOTSOV16,DOTSOV17,0.9999999822305748
DOTSOV16,DOTSOV20,0.9999999797648682
DOTSOV16,DOTSOV22,0.9999999773250224
DOTSOV16,DOTSOV05,0.999999975517764
DOTSOV16,DOTSOV06,0.9999999717234358
DOTSOV16,DOTSOV04,0.9999999704614946
DOTSOV16,DOTSOV23,0.9999999675907796
DOTSOV16,DOTSOV03,0.9999999490482174
DOTSOV16,DOTSOV24,0.999999934159694
DOTSOV16,DOTSOV30,0.9999999012709304
DOTSOV16,DOTSOV32,0.9999998993235384
DOTSOV16,DOTSOV26,0.999999895368608
DOTSOV16,DOTSOV38,0.9999998772437692
DOTSOV16,DOTSOV36,0.999999849419962
DOTSOV16,DOTSOV42,0.9999998358899927
DOTSOV16,DOTSOV01,0.9999998358011828
DOTSOV16,DOTSOV35,0.9999998318606688
DOTSOV16,DOTSOV,0.999999824431573
DOTSOV16,DOTSOV28,0.9999998201075104
DOTSOV16,DOTSOV34,0.9999998197678758
DOTSOV16,DOTSOV33,0.9999998034637458
DOTSOV16,DOTSOV31,0.9999997215956904
DOTSOV16,DOTSOV37,0.9999996502594344
DOTSOV16,DOTSOV40,0.9999996109556772
DOTSOV16,DOTSOV39,0.999999490156662
DOTSOV16,DOTSOV41,0.9999990781532884
RUBTAK04,RUBTAK09,0.9999999999966456
RUBTAK04,SURKUN01,0.9999999914874476
