refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
ABAVIJ,OC(=O)c1ccncc1,Co,4.43864,2.4964,3.9804,0.40280255712531915,0.2555066079295154,0.002951072377423651,149.40045804264182,27
ABAVOP,OC(=O)c1ccncc1,Co,3.53566,2.44164,3.51741,0.39430068267140567,0.2511013215859031,0.0027473826341616056,147.35832190538002,27
ABAVUV,OC(=O)c1ccncc1,Co,4.9992,4.29904,4.982,0.3659219162612667,0.23494860499265785,0.0023593336518875335,137.6709823649371,27
ABAYIM,OC(=O)c1nccnc1C(=O)O,Ag,1.2109,0.51751,1.2109,0.19783823506388293,0.05045871559633028,4.061701626492561e-05,9.902081572644734,501
ABAYOS,OC(=O)c1nccnc1C(=O)O,Ag,1.45533,0.64478,1.45533,0.1978437142564221,0.05045871559633028,4.061701626492561e-05,9.902806719826382,501
ABAYOU,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,11.27344,4.5108,11.27344,0.16762051290175906,0.3582966226138032,0.01490058738587986,207.7448392404651,27
ABEMIF,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.25251,6.80253,11.25251,0.5906338731067247,0.4905450500556173,0.005492789338169864,384.1392072865375,2
ABIWOX,OC(=O)c1cncc(c1)C(=O)O,Co,1.81541,0.7958,1.80785,0.3238818589206176,0.19970631424375918,0.0031992139864980484,114.39780939683665,27
ABUWOJ,OC(=O)c1ccc(cc1)C(=O)O,Zn,3.23457,1.404,3.20514,0.6587906919035186,0.5303030303030303,0.002971003802595012,521.8285185061329,50
ACALIB,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Er,3.83161,1.64823,3.83161,0.4099184123236039,0.05681818181818182,9.675297031618871e-06,4.073195708273081,18
ACIBOE,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,8.26184,7.04151,8.26184,0.23211979352690704,0.4598930481283422,0.003465707593355766,447.7718098958242,50
