Threshold,Method,Run,Model,Accuracy,Confusion_Matrix,Cohen_Kappa,Num_Edges,Num_Nodes,Modularity,Num_Communities,Avg_Community_Size,Avg_Clustering,Graph_Density,Avg_Degree
0.03,random,2,GraphSAGE,0.5980442614513639,"[[617, 140, 127, 23], [109, 232, 136, 32], [13, 44, 153, 35], [3, 18, 101, 160]]",0.43465760916539253,227316,9715,0.8311448175437507,713,13.625525946704068,0.5826743147149821,0.004817470865942486,46.79691199176531
0.03,random,2,GCN,0.6258363355635616,"[[611, 197, 84, 15], [93, 286, 106, 24], [9, 52, 159, 25], [5, 32, 85, 160]]",0.47014166205913,227316,9715,0.8311448175437507,713,13.625525946704068,0.5826743147149821,0.004817470865942486,46.79691199176531
0.03,random,2,GAT,0.6299536798764797,"[[626, 182, 81, 18], [128, 247, 98, 36], [10, 56, 131, 48], [7, 14, 41, 220]]",0.4718595685254816,227316,9715,0.8311448175437507,713,13.625525946704068,0.5826743147149821,0.004817470865942486,46.79691199176531
