source,target,weight
DOTSOV07,EBAMUS,0.9999308847937758
DOTSOV07,WULJUJ,0.9998041124993816
DOTSOV07,DOTSOV02,0.9997942069473486
DOTSOV07,XAMDUM02,0.9997716188117708
DOTSOV07,DOTSOV41,0.9997615759535452
DOTSOV07,DOTSOV,0.999754113695123
DOTSOV07,DOTSOV40,0.999749282681484
DOTSOV07,DOTSOV31,0.999749136744842
DOTSOV07,DOTSOV37,0.9997490553410706
DOTSOV07,DOTSOV34,0.9997481327483548
DOTSOV07,DOTSOV01,0.9997479407684032
DOTSOV07,DOTSOV33,0.9997476428635216
DOTSOV07,DOTSOV35,0.9997473169593704
DOTSOV07,DOTSOV25,0.9997473044574412
DOTSOV07,DOTSOV38,0.9997467246717728
DOTSOV07,DOTSOV26,0.9997463908067956
DOTSOV07,DOTSOV21,0.9997456135176708
DOTSOV07,DOTSOV03,0.9997454484372708
DOTSOV07,DOTSOV06,0.999745378670768
DOTSOV07,DOTSOV28,0.9997451489736384
DOTSOV07,DOTSOV17,0.999744889487064
DOTSOV07,DOTSOV36,0.9997447894345288
DOTSOV07,DOTSOV27,0.999744580303719
DOTSOV07,DOTSOV18,0.9997444914165076
DOTSOV07,DOTSOV30,0.9997440807816254
DOTSOV07,DOTSOV12,0.9997439991911108
DOTSOV07,DOTSOV14,0.9997437331098334
DOTSOV07,DOTSOV29,0.9997436825754972
DOTSOV07,DOTSOV24,0.9997435156379588
DOTSOV07,DOTSOV23,0.9997427501455756
DOTSOV07,DOTSOV04,0.9997426672453074
DOTSOV07,DOTSOV05,0.9997425120116474
DOTSOV07,DOTSOV22,0.9997424529398348
DOTSOV07,DOTSOV20,0.9997423687827544
DOTSOV07,DOTSOV19,0.999742042203369
DOTSOV07,WULKAQ,0.9997417737926442
DOTSOV07,DOTSOV16,0.9997409056694718
DOTSOV07,DOTSOV08,0.9997408988302732
DOTSOV07,DOTSOV10,0.9997405964892244
DOTSOV07,DOTSOV11,0.9997403016503849
DOTSOV07,DOTSOV42,0.9997365190960612
DOTSOV07,XAMDUM04,0.9997158319146277
DOTSOV07,LUDLIH,0.9996732178404976
DOTSOV07,BODPAN,0.9996725253926984
DOTSOV07,XAMDUM05,0.9996659657502338
DOTSOV07,XAMDUM01,0.9996199702212244
DOTSOV07,RILFEA,0.9996173734829084
DOTSOV07,DIHVIB01,0.9996139074917464
DOTSOV07,UXISUR,0.9996103515563846
DOTSOV07,YOZMEH,0.9996102947429863
DOTSOV07,XAMDUM,0.9996101649710672
DOTSOV07,FIQCEN,0.9996069169958836
DOTSOV07,LUDLED,0.9996019428965076
DOTSOV07,XAMDUM06,0.9995988176428676
DOTSOV07,YOZMIL,0.9995960204104786
DOTSOV07,YOZNIM,0.999593276897224
DOTSOV07,YOZNEI,0.9995837734404984
DOTSOV07,XAMDUM07,0.999580664114435
DOTSOV07,YOZMOR,0.9995705440031504
DOTSOV07,DIHVIB,0.999538282605738
DOTSOV07,ABEMIF,0.9994932012777034
DOTSOV07,YOZPAG,0.9994768521557672
DOTSOV07,QIZLIW,0.999077385781992
DOTSOV07,QAWHIH01,0.998182594679042
DOTSOV07,QAWHIH,0.9981289011575492
DOTSOV07,GAVDUD,0.9975117595800732
DOTSOV07,NEHZOS,0.9975110388143535
DOTSOV07,NEHZUY,0.9974434342581135
DOTSOV07,OQIZUL,0.9970326261096712
DOTSOV07,YOZNUY,0.9970125109004055
DOTSOV07,OHOMIH,0.9954449623738572
SIWZOP03,NIWZIE14,0.999913945882378
SIWZOP03,NIWZIE02,0.9998135005129972
SIWZOP03,XEHSUZ,0.999767178742903
SIWZOP03,NIWZIE06,0.9997168614071352
SIWZOP03,NAXVOY01,0.9995648748669028
SIWZOP03,HIBGEF,0.9995514322694424
SIWZOP03,XEHSIN,0.9994145844301976
SIWZOP03,XEHSAF,0.9993701247591358
SIWZOP03,DOHDOU,0.996874816079758
SIWZOP03,YANWAO,0.9968237216877692
SIWZOP03,LIJWUX02,0.9952429002218762
LIJWUX02,SIRBIG06,0.9999063553423324
LIJWUX02,AMURUX06,0.9998902469012384
LIJWUX02,YANWAO,0.999839531956459
LIJWUX02,DOHDOU,0.9998276694612166
LIJWUX02,AMURUX11,0.9997340173408408
LIJWUX02,XEHSAF,0.9980590763093488
LIJWUX02,XEHSIN,0.9979880599126816
LIJWUX02,HIBGEF,0.9977090357333978
LIJWUX02,NAXVOY01,0.9976784150225726
LIJWUX02,NIWZIE06,0.9972745240105289
LIJWUX02,NIWZIE02,0.9969344210859494
LIJWUX02,NIWZIE14,0.99643190280772
LIJWUX02,SAPBAP,0.9963777502445594
QOMSES,QONLEM,0.9999989308814085
QOMSES,QONLIQ,0.9999976294161604
QOMSES,CISLUN,0.9999954261376496
QOMSES,QONKOV,0.999985840400346
QOMSES,QONLAI,0.9999792979533644
QOMSES,PIZHOX,0.9999330590636786
QOMSES,PASGAU,0.9998942522823184
QOMSES,QOMSAO,0.999813193808464
QOMSES,FUSWIA,0.9997430275929536
QOMSES,DEGJIK,0.9997009261865696
QOMSES,FUQJUX,0.9996351654598457
QOMSES,PEBNER,0.9992162319160188
QOMSES,BUZKUE,0.9986835079955716
QOMSES,VUQJEX01,0.9972461073912652
QOMSES,VUQJEX,0.9971960072944388
QOMSES,HOSPEL,0.9970960111812724
XAMDUM,YOZMEH,0.9999999999589456
XAMDUM,UXISUR,0.9999999999385843
XAMDUM,DIHVIB01,0.9999999880870992
XAMDUM,FIQCEN,0.9999999835789146
XAMDUM,RILFEA,0.999999915304458
XAMDUM,XAMDUM01,0.9999999133858648
XAMDUM,LUDLED,0.9999998959903682
XAMDUM,XAMDUM06,0.9999998033608576
XAMDUM,YOZNIM,0.9999993666013728
XAMDUM,XAMDUM07,0.9999987313876336
XAMDUM,LUDLIH,0.9999971359406172
XAMDUM,BODPAN,0.9999954378833064
XAMDUM,YOZNEI,0.9999953358895468
XAMDUM,XAMDUM05,0.9999948296274224
XAMDUM,YOZNAE,0.9999942756152824
XAMDUM,XAMDUM02,0.9999773811388408
XAMDUM,DOTSOV42,0.999952074033396
XAMDUM,DOTSOV11,0.9999471405832918
XAMDUM,DOTSOV15,0.9999467322605594
XAMDUM,DOTSOV10,0.9999467320508096
XAMDUM,DOTSOV14,0.9999466671191386
XAMDUM,DOTSOV08,0.9999463090210684
XAMDUM,DOTSOV16,0.9999463012891346
XAMDUM,DOTSOV12,0.9999462898410368
XAMDUM,DOTSOV09,0.999945841601764
XAMDUM,DOTSOV18,0.9999455933348876
XAMDUM,WULKAQ,0.9999450531627322
XAMDUM,DOTSOV17,0.9999450220607368
XAMDUM,DOTSOV,0.9999448464784616
XAMDUM,DOTSOV19,0.999944674867724
XAMDUM,DOTSOV06,0.999944309920112
XAMDUM,DOTSOV20,0.9999441963776744
XAMDUM,DOTSOV22,0.9999440718348038
XAMDUM,DOTSOV05,0.9999439837710836
XAMDUM,DOTSOV04,0.999943753033498
XAMDUM,DOTSOV23,0.9999436306079114
XAMDUM,DOTSOV03,0.9999431445877344
XAMDUM,DOTSOV21,0.9999428958665776
XAMDUM,DOTSOV24,0.9999424750768836
XAMDUM,DOTSOV30,0.9999415978042112
XAMDUM,DOTSOV26,0.9999415851391612
XAMDUM,DOTSOV25,0.9999413923732424
XAMDUM,DOTSOV36,0.9999404639336508
XAMDUM,DOTSOV34,0.9999400776471388
XAMDUM,DOTSOV28,0.99993990569303
XAMDUM,DOTSOV33,0.9999397063992326
XAMDUM,DOTSOV31,0.9999384321294228
XAMDUM,DOTSOV37,0.9999373577287476
XAMDUM,DOTSOV40,0.9999368359199434
XAMDUM,DOTSOV39,0.9999353832484742
XAMDUM,DOTSOV41,0.9999326524750448
XAMDUM,EBAMUS,0.99982835776886
XAMDUM,TISPAO,0.9997945757047172
XAMDUM,QAWHIH,0.999220244837121
XAMDUM,ABEMIF,0.9991520233052562
XAMDUM,WULJUJ,0.9988955952191124
XAMDUM,DOTSOV02,0.9988738789686816
XAMDUM,YOZNUY,0.9984010744239732
XAMDUM,NEHZOS,0.9963948301554864
XAMDUM,GAVDUD,0.99637432523776
XAMDUM,NEHZUY,0.9963089774892928
SAHYOQ03,MIBQAR01,0.9999999858952474
SAHYOQ03,NEXVET,0.9999999631318364
SAHYOQ03,HIFTOG03,0.9999999565615728
SAHYOQ03,HIFTOG01,0.9999998896155868
SAHYOQ03,PEVQAK,0.9999996528413302
SAHYOQ03,NODTEH,0.999999510618128
SAHYOQ03,MIBQAR20,0.9999993448785962
SAHYOQ03,MIBQAR06,0.999998599006478
SAHYOQ03,VUSKEA,0.9999983720655128
SAHYOQ03,ABUWOJ,0.9995780645346528
SAHYOQ03,KAKNEQ,0.9990580670993984
SAHYOQ03,LIGWUW,0.9984937952573472
SAHYOQ03,BADZAK,0.9980700944143196
SAHYOQ03,PUCYAO01,0.9973469958516314
SAHYOQ03,FIJCUX01,0.996070399166994
QOWRAV,QOWRAV10,0.9999999738766776
QOWRAV,QOWRAV09,0.9999999433361492
QOWRAV,QOWRAV11,0.9999999205085974
QOWRAV,QOWRAV12,0.9999999029287368
QOWRAV,QOWRAV07,0.9999997850954798
QOWRAV,QOWRAV06,0.9999996400127592
QOWRAV,QOWRAV05,0.9999994641029883
QOWRAV,QOWRAV03,0.9999994284391064
QOWRAV,QOWRAV04,0.9999993855010624
QOWRAV,LIGQEA,0.999732226950304
QOWRAV,BAZFUF,0.9971975973501016
QOWRAV,BAZFUF01,0.9971741426871222
VIFPUY04,VIFPUY01,0.9999999872765928
VIFPUY04,LOQLEJ,0.9999999866684356
VIFPUY04,VIFPUY,0.9999999395054584
VIFPUY04,VIFPUY03,0.9999998946204444
VIFPUY04,VIFPUY05,0.999999868125948
VIFPUY04,VIFPUY02,0.9999998523304504
VIFPUY04,MAYJOM,0.9999562158184292
VIFPUY04,GOCTID,0.9970881057235994
KAJZIH,QIZLOC,0.9999469250764366
KAJZIH,NEHZUY,0.9998880786296824
KAJZIH,GAVDUD,0.9998758736413936
KAJZIH,NEHZOS,0.9998724816177084
KAJZIH,QIZLIW,0.998945411728339
KAJZIH,ABEMIF,0.9982145376329128
KAJZIH,WULJUJ,0.9962682276617676
KAJZIH,DOTSOV02,0.9962521765569798
KAJZIH,DOTSOV41,0.996014540526186
KAJZIH,DOTSOV39,0.9959949471277696
KAJZIH,DOTSOV40,0.9959834819963336
KAJZIH,DOTSOV37,0.9959793228022936
KAJZIH,DOTSOV33,0.9959603785488392
KAJZIH,DOTSOV35,0.9959560928979688
KAJZIH,DOTSOV01,0.9959547701812708
KAJZIH,DOTSOV36,0.9959542744330048
KAJZIH,DOTSOV27,0.9959513816978418
KAJZIH,DOTSOV25,0.9959464715842044
