source,target,weight
NOMPIQ,CIKPEU,0.9999998726527272
NOMPIQ,NOMPOW,0.9999889629134224
NOMPIQ,BEPRIZ,0.999829462243356
NOMPIQ,FEXCAO01,0.9586129223022912
NOMPIQ,SEQSOY,0.9536149135967262
NOMPIQ,AXINAX01,0.9166474076814316
NOMPIQ,DIBQIQ,0.9156817120735994
NOMPIQ,CIFMAH,0.913390273316624
NOMPIQ,NIGPAW,0.912971198639752
NOMPIQ,AXINIF,0.9129327434913777
NOMPIQ,DIBQOW,0.9122011071646008
NOMPIQ,MIHJUL,0.911570634818177
NOMPIQ,MOXDOT01,0.9028019832720288
NOMPIQ,MOXDOT,0.9027769141725834
NOMPIQ,HURGOR,0.9023171260068926
NOMPIQ,DERBIO,0.9020706760689036
NOMPIQ,LUWZUZ01,0.8868399261150304
NOMPIQ,LUWZUZ02,0.8867611886444379
NOMPIQ,CAXZOS,0.8861578222777946
NOMPIQ,DIDBOJ,0.8856881682789827
NOMPIQ,DIDBAV,0.8855045467275633
NOMPIQ,JODGIU,0.8853973569240957
NOMPIQ,DIDBID,0.885296647066812
NOMPIQ,ERUNUC,0.8852746777888029
EBOTIB,SURKEX,0.99999980450832
EBOTIB,BESKUI,0.999999559251138
EBOTIB,RUBTAK02,0.9999986863348088
EBOTIB,RUBTAK01,0.999996122334858
EBOTIB,SURHEU01,0.9999896639789622
EBOTIB,SURHEU03,0.9999885618075356
EBOTIB,UFOSOA,0.9999881664396856
EBOTIB,SURHEU02,0.9999878464974428
EBOTIB,RUBTAK03,0.999987800938608
EBOTIB,UFOSEQ,0.999987595607636
EBOTIB,SURKUN01,0.999987048370102
EBOTIB,RUBTAK07,0.999986807386414
EBOTIB,RUBTAK09,0.9999863897108898
EBOTIB,RUBTAK04,0.999986376200138
EBOTIB,SURKUN,0.9999857586715132
EBOTIB,RUBTAK08,0.9999855516292342
EBOTIB,KINGUM,0.9999403042424952
EBOTIB,CEMBII,0.94719930064675
EBOTIB,UVAHIK,0.9468889041874176
EBOTIB,WIZMAV12,0.9468279446541144
EBOTIB,WIZMAV10,0.9468154875209566
EBOTIB,WIZMAV,0.9468134439134884
EBOTIB,WIZMAV11,0.9468121132550265
EBOTIB,WIZMAV04,0.9468104603943204
EBOTIB,WIZMAV08,0.9468103263065974
EBOTIB,WIZMAV06,0.9468071098793572
EBOTIB,WIZMAV05,0.9468052068226296
EBOTIB,ERARUM,0.9467756839180744
EBOTIB,ERANAO,0.936056516358356
EBOTIB,OFOJAX,0.9089749200711772
EBOTIB,IXETEM,0.9082278102327735
EBOTIB,HERHAQ,0.9063124235543364
EBOTIB,EMIYUW,0.9046967078054272
