refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
ABAVIJ,OC(=O)c1ccncc1,Co,4.43864,2.4964,3.9804,0.15098189446541233,0.26029411764705884,0.0029893653736797524,152.20431150316696,44
ABAVOP,OC(=O)c1ccncc1,Co,3.53566,2.44164,3.51741,0.10405978395393306,0.25735294117647056,0.002996937561598252,151.10592068549676,44
ABAVUV,OC(=O)c1ccncc1,Co,4.9992,4.29904,4.982,0.3877832147840681,0.2514705882352941,0.0031106202466359882,147.13225460828792,44
ABAYIM,OC(=O)c1nccnc1C(=O)O,Ag,1.2109,0.51751,1.2109,0.1583312305917265,0.04035874439461883,9.538686668731511e-06,8.085150564519006,398
ABAYIO,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Mn,11.39487,4.3226,11.39487,0.13138579097638786,0.42736842105263156,0.009270743577294233,174.05638395970996,296
ABAYOS,OC(=O)c1nccnc1C(=O)O,Ag,1.45533,0.64478,1.45533,0.1583505804625017,0.04035874439461883,2.6692291266282294e-05,8.085800053900025,398
ABAYOS01,OC(=O)c1nccnc1C(=O)O,Ag,1.43609,0.70443,1.40839,0.0611492870123861,0.04484304932735426,2.5409778773007474e-05,9.08551367915911,398
ABAYOU,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,11.27344,4.5108,11.27344,0.7040943655891762,0.3735294117647059,0.016163892869773263,215.60097657046316,44
ABEMIF,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.25251,6.80253,11.25251,0.5992858107802324,0.49720044792833146,0.005675181304013317,385.5748135100875,0
ABIWOX,OC(=O)c1cncc(c1)C(=O)O,Co,1.81541,0.7958,1.80785,0.2568916301696323,0.18088235294117647,0.0026582240870752917,103.477441390868,44
ABUFOU,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Mn,2.13608,1.65727,2.11833,0.5846165832385496,0.00631578947368421,0.00421258876088514,2.55771843835571,296
ABUFUA,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Fe,2.05942,1.64222,2.05073,0.0,1.0,0.0,0.8171449995284192,794
ABUWOJ,OC(=O)c1ccc(cc1)C(=O)O,Zn,3.23457,1.404,3.20514,0.1529110686801992,0.5195035460992907,0.0027872058564945307,514.0481917209227,27
ACAFAO,[O-][n+]1ccc(cc1)c1ccc(cc1)C(=O)O,Pb,6.22232,5.37253,6.18758,0.21157563229450155,0.1858974358974359,0.0003679765929872449,24.939551564480624,5
ACAJOG,OC(=O)c1cc(F)cnc1,Cu,3.3423,1.69329,3.34162,0.11978917371985238,0.10638297872340426,0.00014437929554603454,78.12194299211559,0
ACAKEX,OC(=O)c1cc(Cl)cnc1,Cu,2.82904,1.09185,2.4209,0.11953170353447413,0.10638297872340426,0.00011192503013940301,77.92535509597018,0
ACALAT,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Eu,3.17027,1.00034,3.16396,0.02955276465094047,0.02834008097165992,0.0006075958798591892,5.848136285301048,39
ACALEX,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Tb,3.7435,1.18908,3.7435,0.03584794646203071,0.04081632653061224,2.630422707150541e-05,6.6224858343295745,34
ACALIB,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Er,3.83161,1.64823,3.83161,0.06520608329571588,0.056179775280898875,0.0,4.073195708273081,62
ACAZEK,NCCN,Ag,1.67292,0.95578,1.29275,0.6269165780558301,0.8888888888888888,0.0040068514484509245,31.90259046880704,112
ACIBOE,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,8.26184,7.04151,8.26184,0.1471072438297762,0.46897163120567376,0.0035954152304701766,458.2983910735259,27
ACICOH,OC(=O)c1ccncc1,Ni,5.23439,3.67775,5.17003,0.633770534742367,0.39999999999999997,0.016443593296290825,65.05579132776388,150
ACMPCD,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]1n1ccc(nc1=O)N)COP(=O)(O)O,Cd,5.66735,4.60927,5.66735,0.011837104824109624,0.5,0.0,0.9044072872420656,113
ACOBEC,OC(=O)c1ccc(cc1)C(=O)O,Sc,3.36484,2.64983,3.36484,0.5944574915597908,0.8723404255319148,0.004222465207822688,40.14808354776715,157
ACODAA,n1[nH]cc(c1)c1c[nH]nc1,Fe,6.48152,5.94554,6.48152,0.5976876749307015,0.875,0.024149659863945575,6.721703734141173,376
ACODED,OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cu,6.08481,3.78801,6.00167,0.11414227959793338,0.09966405375139978,0.0005604210037034691,72.98179239045064,0
ACODEE,n1[nH]cc(c1)c1c[nH]nc1,Fe,2.62395,1.50111,2.6185,0.5763224317401683,0.875,0.024149659863945575,6.6890572448117345,376
ACODIH,OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Zn,6.22954,4.82188,6.21878,0.38588472019319453,0.21985815602836878,0.0005091643912914616,212.05102365848012,27
ACODON,OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Tb,7.12973,4.65534,7.12973,0.21291558853595183,0.21428571428571427,0.00040258019379561745,35.86235816422464,34
ACOFEG,OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O,Eu,2.93411,1.60176,2.93353,0.06732447075067553,0.06477732793522267,0.0003354706070640255,13.438273807436545,39
