source,target,weight
EBEWIT,DIGPER,0.999999991880526
WULKAQ,DOTSOV19,0.9999999993510128
WULKAQ,DOTSOV22,0.9999999956566832
WULKAQ,DOTSOV16,0.999999992829448
WULKAQ,DOTSOV08,0.9999999927398576
WULKAQ,DOTSOV04,0.9999999923980376
WULKAQ,DOTSOV23,0.9999999909089152
WULKAQ,DOTSOV17,0.9999999895327594
WULKAQ,DOTSOV18,0.9999999881265954
WULKAQ,DOTSOV43,0.9999999868733452
WULKAQ,DOTSOV11,0.9999999797864512
WULKAQ,DOTSOV14,0.9999999772575714
WULKAQ,DOTSOV24,0.9999999704451916
DOTSOV31,DOTSOV33,0.9999999928199612
DOTSOV31,DOTSOV35,0.9999999861701684
DOTSOV31,DOTSOV38,0.9999999684060474
XAMDUM,YOZMEH,0.9999999999589456
XAMDUM,DIHVIB01,0.9999999880870992
DOTSOV32,DOTSOV26,0.9999999999453262
DOTSOV32,DOTSOV38,0.999999998839484
DOTSOV32,DOTSOV29,0.9999999927040932
DOTSOV32,DOTSOV24,0.9999999912721798
DOTSOV32,DOTSOV35,0.9999999909657312
DOTSOV32,DOTSOV27,0.9999999905223148
DOTSOV32,DOTSOV34,0.9999999884933836
DOTSOV32,DOTSOV23,0.9999999776164548
DOTSOV32,DOTSOV04,0.9999999754669732
DOTSOV32,DOTSOV43,0.9999999701150016
DOTSOV08,DOTSOV16,0.99999999999972
DOTSOV08,DOTSOV14,0.9999999889074984
DOTSOV08,DOTSOV09,0.9999999886312398
DOTSOV08,DOTSOV19,0.9999999877498972
DOTSOV08,DOTSOV18,0.9999999873078824
DOTSOV08,DOTSOV17,0.9999999821308468
DOTSOV08,DOTSOV22,0.9999999771658852
DOTSOV08,DOTSOV43,0.9999999708713452
DOTSOV08,DOTSOV04,0.9999999702799044
RUBTAK05,RUBTAK07,0.9999999982117412
RUBTAK05,SURLEY,0.9999999919316056
RUBTAK05,UFOSOA,0.9999999774996936
DOTSOV22,DOTSOV04,0.999999999546924
DOTSOV22,DOTSOV23,0.9999999991330816
DOTSOV22,DOTSOV19,0.9999999983654608
DOTSOV22,DOTSOV24,0.9999999887615546
DOTSOV22,DOTSOV17,0.9999999853820792
DOTSOV22,DOTSOV29,0.999999984896638
DOTSOV22,DOTSOV18,0.9999999788840794
DOTSOV22,DOTSOV16,0.9999999773250224
DOTSOV22,DOTSOV09,0.999999975114544
DOTSOV26,DOTSOV38,0.999999999260666
DOTSOV26,DOTSOV29,0.9999999925619774
DOTSOV26,DOTSOV35,0.9999999922368508
DOTSOV26,DOTSOV27,0.9999999916592984
DOTSOV26,DOTSOV24,0.9999999908946364
DOTSOV26,DOTSOV34,0.9999999897796756
DOTSOV26,DOTSOV33,0.9999999851297154
DOTSOV26,DOTSOV23,0.9999999761714838
DOTSOV26,DOTSOV04,0.9999999739083788
YOZMEH,UXISUR,0.9999999999973636
YOZMEH,DIHVIB01,0.9999999880828117
SURLEY,UFOSOA,0.99999999637869
SURLEY,SURHEU03,0.9999999860339482
SURLEY,RUBTAK07,0.9999999825464352
DIHVIB01,UXISUR,0.9999999882559738
DOTSOV09,DOTSOV18,0.999999999716022
DOTSOV09,DOTSOV17,0.999999996921674
DOTSOV09,DOTSOV14,0.9999999968285492
DOTSOV09,DOTSOV43,0.999999988774804
DOTSOV09,DOTSOV16,0.9999999886724344
DOTSOV09,DOTSOV19,0.9999999832096732
DOTSOV09,DOTSOV11,0.99999998187698
DOTSOV09,DOTSOV04,0.999999969534706
DOTSOV19,DOTSOV04,0.9999999961912576
DOTSOV19,DOTSOV23,0.9999999951177756
DOTSOV19,DOTSOV17,0.9999999889909434
DOTSOV19,DOTSOV43,0.9999999889026936
DOTSOV19,DOTSOV16,0.999999987866384
DOTSOV19,DOTSOV18,0.9999999856166032
DOTSOV19,DOTSOV24,0.999999978555043
DOTSOV19,DOTSOV29,0.9999999733248888
DOTSOV19,DOTSOV11,0.9999999718940928
DOTSOV19,DOTSOV14,0.9999999710199158
UFOSOA,SURHEU03,0.999999996635914
DOTSOV43,DOTSOV17,0.9999999974531468
DOTSOV43,DOTSOV18,0.999999992061658
DOTSOV43,DOTSOV23,0.9999999876616702
DOTSOV43,DOTSOV24,0.9999999750951836
DOTSOV43,DOTSOV14,0.99999997367021
DOTSOV43,DOTSOV16,0.9999999710243148
DOTSOV43,DOTSOV29,0.9999999707443286
DOTSOV35,DOTSOV34,0.9999999993366973
DOTSOV35,DOTSOV38,0.99999999628109
DOTSOV35,DOTSOV27,0.9999999924865296
DOTSOV35,DOTSOV29,0.9999999772286364
DOTSOV35,DOTSOV24,0.9999999725870788
XAMDUM01,RILFEA,0.9999999906918924
DOTSOV11,DOTSOV14,0.9999999885696048
DOTSOV34,DOTSOV33,0.9999999988398368
DOTSOV34,DOTSOV38,0.9999999944504568
DOTSOV34,DOTSOV27,0.9999999873678088
DOTSOV27,DOTSOV38,0.9999999933255068
DOTSOV27,DOTSOV29,0.9999999915836412
DOTSOV27,DOTSOV33,0.9999999888096164
DOTSOV27,DOTSOV24,0.9999999882006269
DOTSOV17,DOTSOV18,0.9999999985076448
DOTSOV17,DOTSOV14,0.9999999875011556
DOTSOV17,DOTSOV16,0.9999999822305748
DOTSOV17,DOTSOV04,0.9999999821642
DOTSOV16,DOTSOV18,0.9999999873668554
DOTSOV16,DOTSOV04,0.9999999704614946
DOTSOV16,DOTSOV23,0.9999999675907796
DOTSOV18,DOTSOV14,0.9999999946465532
DOTSOV18,DOTSOV04,0.9999999740216348
DOTSOV18,DOTSOV23,0.9999999719245946
DOTSOV38,DOTSOV33,0.9999999910080932
DOTSOV38,DOTSOV29,0.999999989256831
DOTSOV38,DOTSOV24,0.999999986674566
DOTSOV38,DOTSOV23,0.9999999678021364
DOTSOV04,DOTSOV23,0.999999999933448
DOTSOV04,DOTSOV24,0.9999999928215088
DOTSOV04,DOTSOV29,0.999999989675372
DOTSOV24,DOTSOV29,0.9999999997149238
DOTSOV24,DOTSOV23,0.9999999941373332
DOTSOV23,DOTSOV29,0.999999991266676
