refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
SIXNUL,[C]Oc1c(cc(cc1c1ccc(cc1)C(=O)O)C(=O)O)c1ccc(cc1)C(=O)O,Cu,12.92824,7.86087,12.92824,0.0954289428216257,0.17032967032967034,0.002367363634970034,128.47732894839135,15
SIXWON,OC(=O)c1ccc(cc1)N(Cc1ccc(cc1)C(=O)O)Cc1ccc(cc1)C(=O)O,Zn,7.93181,4.96322,7.93181,0.5505330331512419,0.12743362831858407,1.699032560903438e-05,121.57190537098235,1
SIYFEO,O=C(C(=O)c1cc(cc(c1)C(=O)O)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O,In,10.99604,5.02917,6.51726,0.24530267051310772,0.2878787878787879,0.0006247236807147126,49.39449757961447,75
SIYGAL,OC(=O)c1nccnc1C(=O)O,Tb,3.21851,2.00152,3.08703,1.0000000000000002,0.8333333333333333,0.25555555555555554,4.304848623839414,49
SIYGEP,OC(=O)c1nccnc1C(=O)O,Er,3.1676,2.03166,3.1124,0.8088910351691201,0.02247191011235955,0.0,1.6718229890494274,59
SIYGOZ,OC(=O)c1nccnc1C(=O)O,Eu,3.21697,2.00011,3.21195,0.3124486859081582,0.6666666666666666,0.0,1.8487754484138028,234
SIYQEX,OC(=O)c1cc(C(=O)O)c(c(c1C(=O)O)C(=O)O)C(=O)O,Zn,1.72141,0.62311,1.72141,0.35254170367166804,0.04424778761061947,2.2492490443847773e-05,42.95463490055633,1
SIYQEX01,OC(=O)c1cc(C(=O)O)c(c(c1C(=O)O)C(=O)O)C(=O)O,Zn,1.68758,0.61089,1.65253,0.13012584591823578,0.04247787610619469,1.778101255096751e-05,41.187878407581564,1
SIYXIH,OC(=O)c1cc(O)c(c(c1)O)O,Fe,3.56924,2.5596,3.56924,0.5816853657036837,0.41304347826086957,0.02679004888037149,47.538548246830885,62
SIYXIH10,OC(=O)c1cc(O)c(c(c1)O)O,Fe,3.56924,2.5596,3.56924,0.6018919615242792,0.41304347826086957,0.029536629628324217,47.56693761441474,62
SIZGEO,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,4.71719,3.11365,4.26778,0.6275702868937904,0.3598014888337469,0.008366817587202499,247.45292357009606,324
SIZGIS,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,4.75692,3.2057,4.74915,0.6219413610977029,0.3548387096774194,0.008467849088419636,243.9126512341188,324
SIZNIA,Cc1cc(cnc1)C(=O)O,Cu,2.98473,1.65303,2.38784,0.1192157059226342,0.1054945054945055,0.00019263579814438346,78.26909967525077,15
SIZNOG,Cc1cc(cnc1)C(=O)O,Co,3.09697,1.71968,2.39701,0.12078013187617262,0.06835066864784546,0.0003143382103338705,38.13539231386124,255
SOBBIW,Cc1cc(cnc1)C(=O)O,Ni,3.0511,1.70589,2.41825,0.1956609717837851,0.14659685863874347,0.0020386319521071734,23.284361876310765,33
SOBBOC,Cc1cc(cnc1)C(=O)O,Ni,4.08009,1.51797,4.0768,0.142270546654226,0.1099476439790576,0.0005033417085936112,17.62877103886905,33
