Threshold,Method,Run,Model,Accuracy,Confusion_Matrix,Cohen_Kappa,Num_Edges,Num_Nodes,Modularity,Num_Communities,Avg_Community_Size,Avg_Clustering,Graph_Density,Avg_Degree
0.5,stratified,9,GraphSAGE,0.5916976456009914,"[[461, 134, 74, 42], [77, 221, 86, 47], [17, 44, 100, 53], [6, 35, 44, 173]]",0.43204974516017924,62053,8066,0.8191920893862873,603,13.376451077943615,0.18108998905801177,0.001907788334584378,15.38631291842301
0.5,stratified,9,GCN,0.5489467162329615,"[[443, 108, 92, 68], [83, 172, 113, 63], [25, 36, 89, 64], [6, 22, 48, 182]]",0.3792429036414652,62053,8066,0.8191920893862873,603,13.376451077943615,0.18108998905801177,0.001907788334584378,15.38631291842301
0.5,stratified,9,GAT,0.6146220570012392,"[[468, 179, 47, 17], [71, 241, 82, 37], [18, 45, 99, 52], [3, 15, 56, 184]]",0.46152674376193437,62053,8066,0.8191920893862873,603,13.376451077943615,0.18108998905801177,0.001907788334584378,15.38631291842301
