Threshold,Method,Run,Model,Accuracy,Confusion_Matrix,Cohen_Kappa,Num_Edges,Num_Nodes,Modularity,Num_Communities,Avg_Community_Size,Avg_Clustering,Graph_Density,Avg_Degree
0.06,blackhole,5,GraphSAGE,0.6021110601193208,"[[660, 183, 101, 42], [108, 296, 135, 39], [30, 43, 151, 64], [16, 29, 77, 205]]",0.4408813934333804,309061,10703,0.8392593998250918,563,19.010657193605685,0.609598507338653,0.005396394973277665,57.75221900401757
0.06,blackhole,5,GCN,0.5883432767324461,"[[634, 197, 86, 69], [106, 279, 127, 66], [22, 44, 131, 91], [13, 22, 54, 238]]",0.4258484141795156,309061,10703,0.8392593998250918,563,19.010657193605685,0.609598507338653,0.005396394973277665,57.75221900401757
0.06,blackhole,5,GAT,0.6305644791188618,"[[640, 259, 54, 33], [120, 360, 68, 30], [26, 70, 128, 64], [16, 20, 45, 246]]",0.4749061228497462,309061,10703,0.8392593998250918,563,19.010657193605685,0.609598507338653,0.005396394973277665,57.75221900401757
