Threshold,Method,Run,Model,Accuracy,Confusion_Matrix,Cohen_Kappa,Num_Edges,Num_Nodes,Modularity,Num_Communities,Avg_Community_Size,Avg_Clustering,Graph_Density,Avg_Degree
0.3,stratified,0,GraphSAGE,0.5893054024255788,"[[559, 114, 116, 39], [90, 209, 130, 52], [28, 28, 127, 51], [13, 12, 72, 174]]",0.4261217109635327,121919,9066,0.8239632051433906,640,14.165625,0.32971355178226747,0.0029670021728261304,26.895874696668873
0.3,stratified,0,GCN,0.5446527012127894,"[[480, 189, 112, 47], [82, 229, 113, 57], [20, 51, 105, 58], [11, 31, 55, 174]]",0.3698914945923919,121919,9066,0.8239632051433906,640,14.165625,0.32971355178226747,0.0029670021728261304,26.895874696668873
0.3,stratified,0,GAT,0.5722160970231532,"[[558, 138, 105, 27], [107, 206, 131, 37], [20, 46, 131, 37], [11, 27, 90, 143]]",0.3986061250010148,121919,9066,0.8239632051433906,640,14.165625,0.32971355178226747,0.0029670021728261304,26.895874696668873
