source,target,weight
DOTSOV11,DOTSOV10,0.9999999992135924
DOTSOV11,DOTSOV14,0.9999999885696048
DOTSOV11,DOTSOV12,0.9999999863055168
DOTSOV11,WULKAQ,0.9999999797864512
DOTSOV11,DOTSOV17,0.999999969055116
DOTSOV11,DOTSOV20,0.9999999601016508
DOTSOV11,DOTSOV06,0.9999999530425826
DOTSOV11,DOTSOV23,0.9999999435837388
CIFMIP,TIVYAZ,0.9999999437999576
EXEQII,EXEQAA,0.9999999583427712
FIQCEN,XAMDUM,0.9999999835789146
FIQCEN,UXISUR,0.9999999815110652
FIQCEN,DIHVIB01,0.9999999666485772
DOTSOV03,DOTSOV21,0.9999999997285054
DOTSOV03,DOTSOV23,0.999999992853574
DOTSOV03,DOTSOV24,0.9999999918411332
DOTSOV03,DOTSOV26,0.9999999894350337
DOTSOV03,DOTSOV20,0.9999999890368596
DOTSOV03,DOTSOV17,0.9999999835833548
DOTSOV03,WULKAQ,0.9999999776879916
DOTSOV03,DOTSOV27,0.9999999702819576
DOTSOV03,DOTSOV34,0.999999959281478
DOTSOV03,DOTSOV12,0.99999995452772
DOTSOV03,DOTSOV33,0.9999999495204108
DOTSOV03,DOTSOV08,0.99999994881773
DOTSOV03,DOTSOV14,0.9999999429248227
WULKAQ,DOTSOV20,0.9999999966854572
WULKAQ,DOTSOV23,0.9999999909089152
WULKAQ,DOTSOV17,0.9999999895327594
WULKAQ,DOTSOV06,0.9999999871339004
WULKAQ,DOTSOV10,0.9999999869740148
WULKAQ,DOTSOV12,0.9999999823274992
WULKAQ,DOTSOV14,0.9999999772575714
DOTSOV39,DOTSOV37,0.9999999846634474
DOTSOV39,DOTSOV31,0.9999999623164868
DIHVIB01,UXISUR,0.9999999882559738
DIHVIB01,XAMDUM,0.9999999880870992
SURKUN,RUBTAK04,0.9999999931492812
SURKUN,SURKUN01,0.9999999693636348
SURKUN,RUBTAK05,0.9999999661535004
SURKUN,UFOSEQ,0.9999999365346516
DOTSOV34,DOTSOV33,0.9999999988398368
DOTSOV34,DOTSOV26,0.9999999897796756
DOTSOV34,DOTSOV31,0.9999999888515808
DOTSOV34,DOTSOV37,0.999999969122438
DOTSOV34,DOTSOV24,0.999999965394752
DOTSOV23,DOTSOV20,0.9999999985730216
DOTSOV23,DOTSOV24,0.9999999941373332
DOTSOV23,DOTSOV06,0.9999999874284052
DOTSOV23,DOTSOV17,0.9999999806974572
DOTSOV23,DOTSOV26,0.9999999761714838
DOTSOV23,DOTSOV08,0.999999967400581
DOTSOV23,DOTSOV27,0.999999965703564
DOTSOV23,DOTSOV12,0.9999999570913748
DOTSOV23,DOTSOV10,0.9999999561189192
DOTSOV23,DOTSOV14,0.999999947103096
DOTSOV10,DOTSOV08,0.9999999991633428
DOTSOV10,DOTSOV14,0.9999999895474938
DOTSOV10,DOTSOV12,0.9999999887299842
DOTSOV10,DOTSOV17,0.99999997630331
DOTSOV10,DOTSOV20,0.9999999705181648
DOTSOV10,DOTSOV06,0.9999999629759888
UFOSEQ,RUBTAK05,0.9999999953829172
UFOSEQ,SURKUN01,0.9999999940877716
UFOSEQ,RUBTAK04,0.9999999713868438
DOTSOV31,DOTSOV37,0.9999999947386612
DOTSOV31,DOTSOV33,0.9999999928199612
DOTSOV31,DOTSOV27,0.9999999663195844
DOTSOV31,DOTSOV26,0.9999999580134205
DOTSOV26,DOTSOV27,0.9999999916592984
DOTSOV26,DOTSOV24,0.9999999908946364
DOTSOV26,DOTSOV33,0.9999999851297154
DOTSOV26,DOTSOV06,0.9999999666263923
DOTSOV26,DOTSOV20,0.9999999645914082
DOTSOV26,DOTSOV17,0.99999994702273
DOTSOV06,DOTSOV17,0.9999999977078152
DOTSOV06,DOTSOV21,0.9999999905052528
DOTSOV06,DOTSOV20,0.9999999895085574
DOTSOV06,DOTSOV24,0.9999999744653584
DOTSOV06,DOTSOV08,0.9999999715731984
DOTSOV06,DOTSOV27,0.9999999359503
DOTSOV24,DOTSOV21,0.9999999930470412
DOTSOV24,DOTSOV27,0.9999999882006269
DOTSOV24,DOTSOV20,0.9999999869255825
DOTSOV24,DOTSOV33,0.9999999615578312
DOTSOV24,DOTSOV17,0.9999999604027492
DOTSOV27,DOTSOV33,0.9999999888096164
DOTSOV27,DOTSOV21,0.9999999750675088
DOTSOV27,DOTSOV20,0.9999999502851212
DOTSOV27,DOTSOV37,0.999999945033401
DOTSOV33,DOTSOV21,0.999999956652944
RUBTAK04,SURKUN01,0.9999999914874476
RUBTAK04,RUBTAK05,0.999999989757524
DOTSOV20,DOTSOV21,0.9999999864746748
DOTSOV20,DOTSOV17,0.9999999863947338
DOTSOV20,DOTSOV12,0.9999999692864678
DOTSOV20,DOTSOV14,0.99999996124681
DOTSOV17,DOTSOV12,0.9999999926029648
DOTSOV17,DOTSOV14,0.9999999875011556
DOTSOV17,DOTSOV08,0.9999999821308468
DOTSOV17,DOTSOV21,0.9999999791630376
DOTSOV12,DOTSOV14,0.9999999993347496
DOTSOV12,DOTSOV08,0.9999999895820688
DOTSOV12,DOTSOV21,0.9999999472731456
VAZTUM,VAZTOG,0.9999999785041068
SURKUN01,RUBTAK05,0.9999999999200232
UXISUR,XAMDUM,0.9999999999385843
DOTSOV21,DOTSOV08,0.9999999415504228
DOTSOV14,DOTSOV08,0.9999999889074984
VIFPUY05,VIFPUY02,0.9999999986025856
WUNSEE,WUNSEE01,0.9999999911182816
