Threshold,Method,Model,Accuracy_mean,Accuracy_std,Cohen_Kappa_mean,Cohen_Kappa_std,Modularity_mean,Modularity_std,Num_Communities_mean,Num_Communities_std,Avg_Community_Size_mean,Avg_Community_Size_std,Avg_Clustering_mean,Avg_Clustering_std,Graph_Density_mean,Graph_Density_std,Avg_Degree_mean,Avg_Degree_std
0.0,blackhole,GAT,0.6322762140080039,0.019800806077343906,0.47272542985542854,0.024193148431473847,0.834263938617686,0.0002257120298482634,839.1,6.838615844355277,14.808679954458011,0.10800198110661405,0.5923410082849092,0.0025854869789611714,0.004644242145951554,1.0322782240914366e-05,57.701346910384515,0.07413898631991005
0.0,blackhole,GCN,0.6066226080058037,0.005406351159326089,0.44651568626810684,0.00616233342088598,0.834263938617686,0.0002257120298482634,839.1,6.838615844355277,14.808679954458011,0.10800198110661405,0.5923410082849092,0.0025854869789611714,0.004644242145951554,1.0322782240914366e-05,57.701346910384515,0.07413898631991005
0.0,blackhole,GraphSAGE,0.6212523481160591,0.0076906278114186235,0.46069618304904125,0.007514170704503413,0.834263938617686,0.0002257120298482634,839.1,6.838615844355277,14.808679954458011,0.10800198110661405,0.5923410082849092,0.0025854869789611714,0.004644242145951554,1.0322782240914366e-05,57.701346910384515,0.07413898631991005
0.0,random,GAT,0.6235535074244751,0.03314557040678629,0.46491360511594443,0.03717109125162794,0.831069787663598,3.0102646899698665e-05,731.7,1.3374935098492695,13.344306926295733,0.024405573669093815,0.6048445582858828,0.0001450307997077055,0.0049499227555414825,1.334284290262755e-06,48.326095862351494,0.013026617525837886
0.0,random,GCN,0.6360471070148489,0.007118708366722685,0.4819645318863218,0.008034426553660826,0.831069787663598,3.0102646899698665e-05,731.7,1.3374935098492695,13.344306926295733,0.024405573669093815,0.6048445582858828,0.0001450307997077055,0.0049499227555414825,1.334284290262755e-06,48.326095862351494,0.013026617525837886
0.0,random,GraphSAGE,0.6153609831029186,0.009563429533668186,0.45450350477900675,0.01032292997489974,0.831069787663598,3.0102646899698665e-05,731.7,1.3374935098492695,13.344306926295733,0.024405573669093815,0.6048445582858828,0.0001450307997077055,0.0049499227555414825,1.334284290262755e-06,48.326095862351494,0.013026617525837886
0.0,stratified,GAT,0.6283605204985705,0.009907621446579636,0.46903611631509146,0.01218053039056854,0.8278171374272956,0.00020930556785121417,725.6,3.893013685508382,13.335364524744985,0.06940126314046473,0.5522754765381378,0.0015237396513768763,0.004440555976694365,6.404225990099426e-06,42.96189175267863,0.030660816502365015
0.0,stratified,GCN,0.5714823755684059,0.040461642434028944,0.40163463102355645,0.051677265864882825,0.8278171374272956,0.00020930556785121417,725.6,3.893013685508382,13.335364524744985,0.06940126314046473,0.5522754765381378,0.0015237396513768763,0.004440555976694365,6.404225990099426e-06,42.96189175267863,0.030660816502365015
0.0,stratified,GraphSAGE,0.5907988620768846,0.0199696986336597,0.4237358585161483,0.022284555973637116,0.8278171374272956,0.00020930556785121417,725.6,3.893013685508382,13.335364524744985,0.06940126314046473,0.5522754765381378,0.0015237396513768763,0.004440555976694365,6.404225990099426e-06,42.96189175267863,0.030660816502365015
0.03,blackhole,GAT,0.6093344249221209,0.022445437993391843,0.4512718916224882,0.022961375699874467,0.8365237218211561,0.0010097282204615272,552.4,4.993328882953072,19.936613575363552,0.17514883840441978,0.6113570402955917,0.0021092910138061543,0.0054679100503678855,2.6424995845539372e-05,60.20818098011896,0.2770910553055941
0.03,blackhole,GCN,0.5900384718168125,0.006509363149336932,0.4301105227296144,0.00758559701605691,0.8365237218211561,0.0010097282204615272,552.4,4.993328882953072,19.936613575363552,0.17514883840441978,0.6113570402955917,0.0021092910138061543,0.0054679100503678855,2.6424995845539372e-05,60.20818098011896,0.2770910553055941
0.03,blackhole,GraphSAGE,0.6071367747629673,0.010077102229617054,0.4470656444984786,0.010720780533090394,0.8365237218211561,0.0010097282204615272,552.4,4.993328882953072,19.936613575363552,0.17514883840441978,0.6113570402955917,0.0021092910138061543,0.0054679100503678855,2.6424995845539372e-05,60.20818098011896,0.2770910553055941
0.03,random,GAT,0.6107050952135873,0.029774928709874197,0.44529719178259863,0.036494831731746884,0.8311267514842674,2.8048667313769028e-05,712.6,1.9550504398153505,13.630457019844986,0.036235724766475776,0.581386845920177,0.0014104800271221695,0.004807780777173689,9.744961855066286e-06,46.693180204546216,0.10196943892388778
0.03,random,GCN,0.6256304683479156,0.006285602551410938,0.4691546445991239,0.00788712555382631,0.8311267514842674,2.8048667313769028e-05,712.6,1.9550504398153505,13.630457019844986,0.036235724766475776,0.581386845920177,0.0014104800271221695,0.004807780777173689,9.744961855066286e-06,46.693180204546216,0.10196943892388778
0.03,random,GraphSAGE,0.6064333504889347,0.006802147240748645,0.44078283758304637,0.00848960725397402,0.8311267514842674,2.8048667313769028e-05,712.6,1.9550504398153505,13.630457019844986,0.036235724766475776,0.581386845920177,0.0014104800271221695,0.004807780777173689,9.744961855066286e-06,46.693180204546216,0.10196943892388778
0.03,stratified,GAT,0.6268050562476032,0.020647534328126032,0.46784060422187707,0.024079522184970073,0.8275097241081953,0.00026694039317049216,711.0,5.5777335102271675,13.53077371590937,0.09655195737702706,0.531902716333512,0.0013988361815277502,0.004316937697356656,9.285649838776602e-06,41.52415395625555,0.08449671572707299
0.03,stratified,GCN,0.58743954819223,0.042499412477865095,0.4215944979066336,0.05490324531238787,0.8275097241081953,0.00026694039317049216,711.0,5.5777335102271675,13.53077371590937,0.09655195737702706,0.531902716333512,0.0013988361815277502,0.004316937697356656,9.285649838776602e-06,41.52415395625555,0.08449671572707299
