Threshold,GCN,GAT,KNN,Decision Tree,CNN
0.0,0.753282904624939,0.7890967130661011,0.7648229208117787,0.7715877437325905,0.7676084637641907
0.1,0.762054979801178,0.79269939661026,0.7706173952230735,0.7854889589905363,0.78143310546875
0.2,0.7523387670516968,0.7996060848236084,0.7700640078778926,0.7784342688330872,0.7764648199081421
0.3,0.7467461824417114,0.7781995534896851,0.7668112798264642,0.7912147505422994,0.7554230093955994
0.4,0.7621065378189087,0.7984261512756348,0.7772397094430993,0.7972154963680388,0.7869249582290649
0.5,0.7644263505935669,0.805838406085968,0.7678207739307535,0.7909029192124916,0.787508487701416
0.6,0.7287607192993164,0.7708495855331421,0.734996102883866,0.7833203429462198,0.7646141648292542
0.7,0.7365108132362366,0.7769784331321716,0.7553956834532374,0.7940647482014388,0.7814748287200928
0.8,0.748400866985321,0.7846481800079346,0.7654584221748401,0.8155650319829424,0.753731369972229
0.9,0.7874214053153992,0.8251572251319885,0.7823899371069183,0.8389937106918239,0.7861635088920593
0.95,0.7849462628364563,0.823924720287323,0.7513440860215054,0.8400537634408602,0.7983871102333069
