refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Community ID,Gravity,Degree Centrality,Betweenness Centrality,Edge Weight Sum
ABAVIJ,OC(=O)c1ccncc1,Co,4.43864,2.4964,3.9804,0,0.44084565799441117,0.2877094972067039,0.002867885218452258,177.01521152036975
ABAVOP,OC(=O)c1ccncc1,Co,3.53566,2.44164,3.51741,0,0.43413603142612955,0.2835195530726257,0.0027263835024234255,174.62881767269644
ABAYIO,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Mn,11.39487,4.3226,11.39487,2,0.6615244398443196,0.4774590163934426,0.010035211135216259,199.30904276075609
ABIWOX,OC(=O)c1cncc(c1)C(=O)O,Co,1.81541,0.7958,1.80785,0,0.32030580261895175,0.20949720670391062,0.002731381139091976,126.15157952994564
ABUFUA,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Fe,2.05942,1.64222,2.05073,4,0.0,1.0,0.0,0.8171449995284192
ABUWOJ,OC(=O)c1ccc(cc1)C(=O)O,Zn,3.23457,1.404,3.20514,5,0.6777140987544986,0.4838940586972083,0.0032560676392215395,592.4603305913994
ACIBOE,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,8.26184,7.04151,8.26184,5,0.6112891471512688,0.4359341445955619,0.003581865917273845,527.9698811660312
ACICOH,OC(=O)c1ccncc1,Ni,5.23439,3.67775,5.17003,12,0.652469754733047,0.4427083333333333,0.013560823661066807,72.50606306395532
ACMPCD,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]1n1ccc(nc1=O)N)COP(=O)(O)O,Cd,5.66735,4.60927,5.66735,13,0.9861991768058572,0.6666666666666666,0.6666666666666666,1.7162247984971102
ACODAA,n1[nH]cc(c1)c1c[nH]nc1,Fe,6.48152,5.94554,6.48152,15,0.063387087032865,1.0,0.0,7.717170224501584
ACODEE,n1[nH]cc(c1)c1c[nH]nc1,Fe,2.62395,1.50111,2.6185,15,0.0,1.0,0.0,7.684523735172145
ACOGAB,O=C(N1CCN(CCN(CCN(CC1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)Nc1ccncc1,Cd,5.20046,3.89327,5.1982,16,0.7432769954446908,0.004077471967380225,0.0,3.4994507039005303
ACOVEU,O[C@H]([C@H](C(=O)O)O)C(=O)O,Co,1.414,0.90293,1.414,17,0.0,1.0,0.0,0.9066490831524328
ADATUW,C/C(=N\Nc1ccccn1)/c1ccc(cc1)N(c1ccc(cc1)/C(=N/Nc1ccccn1)/C)c1ccc(cc1)/C(=N/Nc1ccccn1)/C,Ag,10.34629,8.86044,10.34629,19,0.6749696424762112,0.52,0.012789115646258505,22.39986717173623
ADEGIA,OC(=O)c1ccc(cc1)C(=O)O,Gd,2.88073,1.44486,2.87942,20,0.862429594536199,0.5031446540880503,0.04172384612735586,68.99695040000563
ADINCU,N#CCCCCC#N,Cu,4.24935,2.57866,4.24935,21,0.0,1.0,0.0,0.8052051671625591
ADIPUA,O=CC(c1ccncc1)C=O,Cu,4.36399,3.91596,4.29546,3,0.6733958964427847,0.0016877637130801688,0.0,1.8144772925202424
ADIQAH,O=CC(c1ccncc1)C=O,Cu,4.68965,3.67655,4.67837,3,0.680077911569037,0.0016877637130801688,0.0,1.8149564240923706
