refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Community ID,Gravity,Degree Centrality,Betweenness Centrality,Edge Weight Sum
SCFORM01,OC=O,Sc,2.11637,0.97525,2.05963,748,0.0,1.0,0.0,0.999944694957502
SCFORM10,OC=O,Sc,1.94345,0.85556,1.94059,748,0.0,1.0,0.0,0.999944694957502
SEDLAP,OC(=O)/C=C/C(=O)O,Sm,4.28393,1.14853,4.28296,429,0.28581826679682365,1.0,0.0,3.9817158926941794
SEDLAP01,OC(=O)/C=C/C(=O)O,Sm,4.72169,1.16062,4.71476,429,0.27035356247437886,1.0,0.0,3.979687605398501
SEFPOJ,OC(=O)c1ccnc(c1)c1nccc(c1)C(=O)O,Sm,3.43416,1.33989,3.3601,26,0.13920878827564379,0.13333333333333333,0.001563839359376256,9.910407110523273
SEFTOO,Cc1ncc[nH]1,Zn,11.45271,3.44271,11.45271,218,0.7954747165667415,0.967741935483871,0.0030624534388848804,81.48446232713128
SEFVEG,Cc1ncc[nH]1,Zn,11.62207,3.83082,11.62207,218,0.7955167397549018,0.967741935483871,0.0030624534388848804,81.4941271626484
SEFVEG02,Cc1ncc[nH]1,Zn,11.62204,3.83235,11.62204,218,0.7955168443880388,0.967741935483871,0.0030624534388848804,81.49415122703057
SEFWEH,Cc1ncc[nH]1,Zn,11.28327,3.61585,11.28327,218,0.7955076009894225,0.967741935483871,0.0030624534388848804,81.49202535483579
SEGBIR,OC(=O)c1ccc2c(c1)cn[nH]2,Cu,10.05564,9.5662,10.05564,3,0.19544266637313587,0.002531645569620253,6.710111912356032e-07,2.6065680848863457
SEGJOG,O1CCOCC1,Na,4.41304,1.75775,4.41304,413,0.3333333333333333,1.0,0.0,1.9998091108472105
SEGSEF,O=N(=O)c1cc(ccc1C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,7.44071,6.50194,7.42303,5,0.1162769645614653,0.08876163206871868,9.573220199264535e-06,102.16645235194471
SEGVAD,OC(=O)CNCC(=O)O,Dy,2.21548,1.10298,2.21218,361,0.035950880851142696,1.0,0.013333333333333334,5.145357915643964
