Threshold,Method,Run,Model,Accuracy,Confusion_Matrix,Cohen_Kappa,Num_Edges,Num_Nodes,Modularity,Num_Communities,Avg_Community_Size,Avg_Clustering,Graph_Density,Avg_Degree
0.95,blackhole,6,GraphSAGE,1.0,"[[1, 0], [0, 5]]",1.0,118,31,0.3659867859568643,5,6.2,0.6627812943943655,0.2537634408602151,7.612903225806452
0.95,blackhole,6,GCN,1.0,"[[1, 0], [0, 5]]",1.0,118,31,0.3659867859568643,5,6.2,0.6627812943943655,0.2537634408602151,7.612903225806452
0.95,blackhole,6,GAT,1.0,"[[1, 0], [0, 5]]",1.0,118,31,0.3659867859568643,5,6.2,0.6627812943943655,0.2537634408602151,7.612903225806452
