refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
ABAVIJ,OC(=O)c1ccncc1,Co,4.43864,2.4964,3.9804,0.10423367027172217,0.2595307917888563,0.0029779760235818984,152.20431150316696,83
ABAVOP,OC(=O)c1ccncc1,Co,3.53566,2.44164,3.51741,0.1040579990774064,0.2565982404692082,0.002985639299565897,151.10592068549676,83
ABAVUV,OC(=O)c1ccncc1,Co,4.9992,4.29904,4.982,0.387577015354043,0.250733137829912,0.00309756711715817,147.13225460828792,83
ABAYIM,OC(=O)c1nccnc1C(=O)O,Ag,1.2109,0.51751,1.2109,0.1583312305917265,0.04035874439461883,9.538686668731511e-06,8.085150564519006,201
ABAYIO,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Mn,11.39487,4.3226,11.39487,0.093922620696648,0.42736842105263156,0.009270743577294236,174.05638395970996,2
ABAYOS,OC(=O)c1nccnc1C(=O)O,Ag,1.45533,0.64478,1.45533,0.026860833053277005,0.04035874439461883,2.6692291266282294e-05,8.085800053900025,201
ABAYOS01,OC(=O)c1nccnc1C(=O)O,Ag,1.43609,0.70443,1.40839,0.0611492870123861,0.04484304932735426,2.5409778773007474e-05,9.08551367915911,201
ABAYOU,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,11.27344,4.5108,11.27344,0.7066360800080925,0.3724340175953079,0.016098045173591716,215.60097657046316,83
ABEMIF,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.25251,6.80253,11.25251,0.5992858107802324,0.49720044792833146,0.005675181304013317,385.5748135100875,55
ABIWOX,OC(=O)c1cncc(c1)C(=O)O,Co,1.81541,0.7958,1.80785,0.004174303119511992,0.18035190615835778,0.002652347805701754,103.477441390868,83
ABUFOU,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Mn,2.13608,1.65727,2.11833,0.0049897849990229465,0.00631578947368421,0.00421258876088514,2.55771843835571,2
ABUFUA,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Fe,2.05942,1.64222,2.05073,0.0,1.0,0.0,0.8171449995284192,796
ABUWOJ,OC(=O)c1ccc(cc1)C(=O)O,Zn,3.23457,1.404,3.20514,0.05481322813480884,0.5167548500881833,0.002797698419148574,514.0481917209227,36
ACAFAO,[O-][n+]1ccc(cc1)c1ccc(cc1)C(=O)O,Pb,6.22232,5.37253,6.18758,0.21157563229450155,0.1858974358974359,0.0003679765929872449,24.939551564480624,179
ACAJOG,OC(=O)c1cc(F)cnc1,Cu,3.3423,1.69329,3.34162,0.11978917371985238,0.10638297872340426,0.00014437929554603454,78.12194299211559,55
ACAKEX,OC(=O)c1cc(Cl)cnc1,Cu,2.82904,1.09185,2.4209,0.11953170353447413,0.10638297872340426,0.00011192503013940301,77.92535509597018,55
ACAKUM,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,La,3.48305,1.40429,3.43219,0.009887846605792335,0.012903225806451613,4.409851608493374e-06,1.6136537681420573,294
ACALAT,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Eu,3.17027,1.00034,3.16396,0.02955276465094047,0.02834008097165992,0.0006075958798591892,5.848136285301048,196
ACALEX,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Tb,3.7435,1.18908,3.7435,0.03584794646203071,0.04081632653061224,2.630422707150541e-05,6.6224858343295745,114
ACALIB,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Er,3.83161,1.64823,3.83161,0.3803710346856352,0.056179775280898875,0.0,4.073195708273081,85
ACAZEK,NCCN,Ag,1.67292,0.95578,1.29275,0.6269165780558299,0.8888888888888888,0.0040068514484509245,31.90259046880704,109
ACIBOE,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,8.26184,7.04151,8.26184,0.38923874772911127,0.4664902998236331,0.0036401015390488166,458.2983910735259,36
ACICOH,OC(=O)c1ccncc1,Ni,5.23439,3.67775,5.17003,0.633770534742367,0.39999999999999997,0.016443593296290825,65.05579132776388,21
ACMPCD,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]1n1ccc(nc1=O)N)COP(=O)(O)O,Cd,5.66735,4.60927,5.66735,0.011837104824109624,0.5,0.0,0.9044072872420656,110
